5004	20303	9051	6478	22982	4303	5780	9041	8192	2824	8172	3038	9427	14416	4386	8533	18827		9456.294	6108.892
15624	5128	8193	8124	10346	11267	5639	17187	14418	1044	8614	20778	7016	8362	9121	5915	25350		10713.294	6166.350
81603	35970	52873	19569	66121	27555	62346	25011	56159	93586	127029	38303	71041	75250	64213	40995	55607		58425.353	27233.298
31114	89171	72256	68906	117810	40304	54396	58502	49228	37613	116806	63047	161641	32162	43731	40024	82041		68161.882	35929.417
95668	60816	49829	105187	48193	230962	112652	129280	40814	122812	32182	27158	80368	41273	51933	33863	26851		75873.000	52946.247
43287	111884	52971	103643	52431	126394	38514	52377	67868	44285	34208	112326	128992	56559	84822	87654	140054		78721.706	35554.029
49879	56173	85986	66543	74781	55953	152432	93546	31166	84871	59424	99245	20426	65047	89691	79012	65022		72305.706	29596.226
45464	59457	56396	71608	45784	110987	108985	23229	34837	71317	61004	43984	40624	29889	87233	41309	83995		59770.706	26076.161
76700	115115	86933	51077	115939	108609	67372	81583	226854	70338	54541	71785	81769	18712	49615	79583	79613		84478.706	44100.480
43836	66244	70975	36178	112430	111934	33376	194091	60481	81797	96281	102377	133040	34547	63919	67187	92701		82434.941	41286.691
40553	110094	116601	74964	139684	37602	39530	73775	96343	97842	51089	22827	69582	56142	69476	44809	69625		71208.118	31989.811
80969	72417	33926	69825	43458	71234	68811	47059	101414	95260	86622	30772	29256	41456	131444	50286	65274		65851.941	27917.209
53265	60029	168477	34500	53417	17603	132464	147920	38522	104260	32992	33335	50009	62652	149681	35195	44934		71720.882	48606.673
46878	41059	33561	14212	106013	45770	66876	69850	26488	31007	69253	44120	67554	18330	59220	61120	126270		54563.588	29343.378
112427	36640	37700	66843	39434	61086	39259	185643	24717	46500	28488	121895	108040	76268	114020	31327	47282		69268.765	44542.181
44446	156915	172721	57645	80804	106028	71377	70223	69732	69344	22253	61786	53485	50733	94132	51565	111502		79099.471	39176.592
86434	96727	81866	146903	32282	39496	40516	116645	36898	52918	90392	35997	45154	55426	121240	48187	106279		72550.588	35823.965
238262	24335	67946	86256	63211	87342	54942	94375	51817	161044	154854	46514	110087	78636	37621	38022	32191		83967.941	55940.994
39316	84302	122306	63064	74491	131684	36317	134506	26442	166760	54333	39927	49242	70641	57907	52899	59521		74332.824	40405.000
141064	64571	72334	117090	87679	117399	126070	44263	158698	89586	59817	52872	115017	53459	38401	69595	55220		86066.765	36610.099
23588	26369	39878	49166	26435	47940	61855	73528	65924	35949	57515	35264	60439	259060	21287	94100	63338		61272.647	54737.687
77092	75986	70762	52193	45348	37820	21276	97814	47338	68099	75182	97511	44876	78472	134180	46550	43323		65518.941	27656.234
28996	27971	77514	19295	53876	143576	61150	47713	43250	36570	53739	37677	98338	58737	40235	31697	112763		57241.000	33363.688
68099	47375	113947	40806	47466	27059	120121	99293	43388	80419	75884	111672	70779	161542	23626	52576	40924		72057.412	38092.905
37713	87678	28148	76261	42311	90325	93177	81034	45083	44458	61909	18748	41168	48557	109716	52786	36259		58548.882	26248.797
23989	135086	17709	69483	116399	29797	22354	42386	142541	81841	204234	45300	27665	34672	26444	85016	45058		67645.529	53392.233
26077	36504	100888	334024	51418	45543	28746	65323	47792	55130	69638	117710	97567	172400	42599	91832	56362		84679.588	74316.743
35741	54086	30480	27856	111482	52592	72038	64494	49544	141317	123600	148611	28850	36446	58562	74642	48115		68144.471	39348.086
75116	34213	83113	69250	113147	76480	66037	35291	96768	105635	40529	25086	33912	94995	42999	43216	61159		64526.235	27859.014
37931	40581	36730	65653	55979	17456	80000	29828	160324	46532	86414	35995	93157	29312	183233	60212	45844		65010.647	45480.399
40768	95471	46913	67084	52303	77114	50712	102967	135875	36083	41360	102998	51706	30024	95678	161133	65677		73756.824	37032.522
65518	45890	57859	53123	56502	42964	42820	57277	50006	68711	140977	54077	69859	38028	33014	50545	29505		56275.000	24680.753
92032	26254	39810	35416	48130	175722	254327	36390	29990	35828	32147	38853	26187	70972	52088	26711	73163		64354.118	61249.004
155964	30338	45186	77909	47193	73284	36351	45671	52306	29983	49257	38263	56025	85730	33965	136295	77146		62992.118	35882.348
23947	160766	80480	120177	42218	43901	135580	46805	32675	43004	43493	69265	49169	43445	99494	42082	105127		69507.529	40405.710
57816	63472	82424	36234	81175	71633	52427	147783	91557	133508	123025	93434	13528	59491	26432	126497	86460		79229.176	37950.138
26921	27066	46447	30952	25318	100571	83223	29105	50176	333633	42645	129342	127178	77687	37944	56819	28520		73738.059	75305.561
52240	119666	24634	35240	121095	79917	53611	125743	118471	47687	48931	17035	77540	51563	39282	84124	53783		67680.118	35303.370
18370	42188	81079	29105	42944	62093	62305	75355	100490	86630	62636	38823	20580	107502	51268	45202	87072		59626.000	26955.586
39163	36790	43169	41882	28334	126635	109838	105192	42120	53525	46043	15788	20297	64123	34868	31031	87376		54480.824	32939.718
41109	80045	44791	237368	23756	24993	48500	53408	20605	115313	19006	97967	21076	55549	82949	16198	42172		60282.647	54310.652
64740	34870	48252	41521	227682	28168	71032	58456	34323	41152	75013	24978	40606	56814	48829	47537	82044		60353.941	46100.964
30408	94648	65920	68455	101542	48635	77526	35268	153345	71788	52009	55520	123900	83280	56595	56459	49049		72020.412	31825.206
106546	61146	27808	34814	26313	46947	67969	95749	26665	38911	31760	23666	94789	68374	137803	88013	55230		60735.471	33810.880
32983	43585	23315	64884	34113	60594	23655	48688	41474	78204	62345	50015	46452	31431	39172	38785	54853		45561.647	15071.512
32918	40130	26750	112069	89290	136370	87740	128069	116142	49906	71899	45932	80326	40194	36621	70464	39832		70861.882	35789.364
65932	74255	56357	35607	106626	99195	56264	23830	37160	40355	29904	146353	109177	79016	42095	74971	169358		73320.882	41394.928
57779	157576	42154	59533	69284	82132	90365	111868	44281	85165	34681	62136	17709	50334	41124	99943	33742		67047.412	34675.183
50230	112315	58211	84947	105890	63718	34875	28332	119915	45070	78573	46478	62315	81051	33174	34265	59551		64641.765	28522.546
69209	54298	31685	38218	81539	23896	31707	72365	84142	116343	23536	167504	49219	68666	61837	102964	80720		68108.706	37174.075
78988	61583	26328	36902	37806	60657	80799	50909	32521	30327	41600	83708	144679	23565	94418	70099	94008		61699.824	32080.843
31453	73611	43790	66215	89780	25683	77785	36587	46277	38372	42487	36409	97277	55848	33983	52679	33674		51877.059	21590.722
42729	201602	62847	50434	139962	60483	35473	55531	40193	42491	25994	92660	126871	68347	26558	90939	40944		70826.941	47019.964
96233	68008	40649	59889	34684	115525	29562	48764	94057	51243	37609	75735	76933	185710	43348	153247	62734		74937.059	43149.535
34648	175233	138792	177063	37258	45192	82722	19523	62995	110906	28313	86041	42458	53121	108175	158166	96509		85712.647	52089.464
38081	87170	33227	70465	60986	37600	64088	169901	90114	28645	35164	29105	58342	114227	45896	51932	79018		64350.647	36530.116
62003	37338	90238	45195	125393	38782	25025	44807	95286	140329	93889	40239	48784	33645	18990	64206	29369		60795.176	35808.383
72529	107620	53250	52535	61681	141948	86154	42317	64466	56976	45921	52219	39156	32661	26500	68024	80629		63799.176	28589.237
84965	92775	35904	87782	40586	60893	100431	65773	48212	46131	80956	45422	83182	27177	20242	225805	54756		70646.588	46681.021
49735	68129	32174	65416	42872	52818	95691	34989	22397	100531	30341	39722	51948	31242	64816	66817	35948		52093.294	22422.461
44600	81288	88008	95283	83505	24241	86623	60870	55386	72527	39283	93734	36293	30813	37502	119115	38380		63967.706	28084.967
25915	50666	61417	96097	25360	83032	45057	36721	30946	56033	74783	47040	43366	23162	54561	17732	44693		48034.176	21716.948
34165	66301	52123	38326	48860	57158	72060	60282	36335	37097	28113	30834	62382	76174	20901	48950	36447		47441.647	16317.968
51032	89053	61167	27655	64054	64513	89784	74722	18476	39390	39262	59910	51705	33189	111546	18278	30780		54383.294	26451.171
81646	113820	98648	91874	29550	31951	20758	17428	71827	31388	48647	28737	68903	33655	76828	28571	33117		53373.412	30645.446
157800	94979	67705	91388	61590	47098	46501	50464	34444	56793	31496	95890	148794	36759	28000	27933	48289		66230.765	39522.963
67535	35124	57980	59655	60810	148081	46783	62796	80748	52357	47164	82313	81663	198996	32302	48432	69681		72495.294	41760.019
75972	115773	74841	62771	31116	36979	37149	23544	36167	18172	65573	57969	27228	45894	32422	56174	66740		50852.000	24790.166
60918	39645	59237	92940	41270	27902	64154	81452	55041	63535	67939	48332	39949	52036	88613	143989	32116		62298.118	28086.528
55289	87570	31636	43499	49954	24739	25801	80150	36522	19707	40256	21776	44501	75419	25072	33922	56205		44236.353	20875.546
55333	18955	42059	34201	49917	64629	94208	44633	28003	73007	59528	197553	62169	36307	58227	72139	51467		61313.824	39605.427
33703	26397	47054	36892	30463	70205	179327	94094	27843	48320	28621	69201	77957	56388	23154	40054	97888		58091.824	39214.594
