Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS	Distance
3222	14.3372	46432	0.277807	0.000694055	13.6471	2.28968	0.922245	0.0279222	0.723184	0.162555	19.1765	6.81208	0.0535092	5.87217
3223	14.0402	48285	0.285443	0.000717179	12.9412	2.38408	0.909939	0.0407295	0.72957	0.182417	18.3529	7.2796	0.0269107	5.63303
3224	13.797	49981	0.287351	0.000760851	12.0588	1.81902	0.908316	0.0357144	0.716389	0.153551	16.8824	5.51002	0.00277521	6.30541
3225	13.7533	49365	0.293944	0.00071959	12.1765	2.09867	0.901555	0.0326043	0.687096	0.216478	18.8235	8.11815	-0.0184984	5.32322
3226	14.095	49361	0.279838	0.000757071	15.1176	3.03896	0.932657	0.0281757	0.659316	0.0975395	22.6471	6.70766	0.0166592	6.06369
3227	14.5391	47335	0.284019	0.000744584	12.8235	2.32474	0.921704	0.0232097	0.661926	0.200602	21.1176	10.5823	-0.0174852	4.58497
3228	14.7605	46715	0.292853	0.000748132	12.6471	2.14887	0.919946	0.0247492	0.764288	0.129569	16.2353	5.19049	-0.010661	6.65221
3229	14.7605	46715	0.292853	0.000748132	12.6471	2.14887	0.919946	0.0247492	0.764288	0.129569	16.2353	5.19049	-0.010661	6.65221
3230	14.7902	47622	0.295628	0.000729454	12.9412	2.5365	0.919811	0.0322852	0.694704	0.176729	18.9412	6.44661	0.0112633	5.93605
3231	14.7227	48836	0.298346	0.000718823	11.7059	1.61108	0.912508	0.0186134	0.70526	0.192442	17.1765	7.01993	-0.0191983	5.85077
3232	14.8483	49673	0.285988	0.000734852	13.8824	1.7278	0.932792	0.016508	0.655819	0.172142	22	8.03897	0.0255026	5.36517
3233	14.3471	47447	0.282507	0.000740654	14.2941	2.44348	0.935091	0.0184003	0.663777	0.155423	21.8824	7.33044	-0.00239664	5.67217
3234	14.5079	49393	0.270045	0.000698455	14.1176	3.03896	0.9286	0.0315775	0.676611	0.130548	20.8824	6.82717	-0.0184123	5.94489
3235	14.944	47532	0.282023	0.000689099	13.0588	2.46147	0.91954	0.0280493	0.762276	0.145611	16.7647	4.9438	-0.011123	6.76875
3236	14.7528	49967	0.268703	0.000657915	9.76471	2.16591	0.879784	0.0305709	0.778891	0.185338	12.7647	6.16978	-0.0168844	6.35591
3237	14.7349	49098	0.261222	0.000699083	12.9412	2.01465	0.919946	0.0224982	0.723233	0.156492	17.8824	5.5552	-0.00182704	6.39207
3238	14.7349	49098	0.261222	0.000699083	12.9412	2.01465	0.919946	0.0224982	0.723233	0.156492	17.8824	5.5552	-0.00182704	6.39207
3239	14.9735	48746	0.269694	0.000666905	14.7647	2.70484	0.936444	0.022435	0.736088	0.15799	20.3529	7.36496	-0.0312921	5.94173
3240	14.8611	48526	0.280191	0.000677544	13.3529	2.64436	0.919405	0.0255663	0.699066	0.140461	19.2941	7.30381	-0.00685662	5.68169
3241	14.8291	49352	0.277424	0.000645494	12.6471	2.89269	0.914266	0.0298161	0.717399	0.159672	17.8824	6.99001	0.000612745	5.85929
3242	14.5199	49820	0.285667	0.000636101	11.4706	2.03463	0.901961	0.0289753	0.736133	0.186379	15.8235	5.79046	-0.0541381	6.38456
3243	14.8818	47766	0.292005	0.000609586	12.3529	2.44799	0.913049	0.0311326	0.737469	0.191463	17.2941	6.9979	0.0259004	5.83131
3244	14.7114	49405	0.296429	0.000646476	11.9412	2.30409	0.910886	0.0267785	0.76694	0.154559	15.6471	6.68899	-0.00322928	6.03642
3245	14.3606	49075	0.291609	0.000604588	14.5882	2.59949	0.935497	0.0233233	0.739649	0.123365	19.4118	6.05247	-0.0019464	6.36524
3246	14.2147	48038	0.287519	0.000604298	11.7647	2.43745	0.901285	0.0385569	0.660773	0.15681	17.9412	6.28958	0.0262382	5.7943
3247	14.6619	47296	0.294007	0.000605656	13.1765	2.21459	0.921163	0.0234545	0.65372	0.0894946	19.5882	4.82259	-0.00927757	6.57724
3248	14.4602	45443	0.297	0.000652543	11.8235	2.00734	0.898039	0.0416335	0.655827	0.162086	18.6471	7.63987	-0.0226315	5.23344
3249	14.8887	42729	0.299829	0.000689217	12	2.69258	0.903719	0.0322135	0.765399	0.173766	16.2941	8.3274	0.0379198	5.44534
3250	14.8887	42729	0.299829	0.000689217	12	2.69258	0.903719	0.0322135	0.765399	0.173766	16.2941	8.3274	0.0379198	5.44534
3251	14.7418	41251	0.298058	0.000713589	12.8235	2.09867	0.917241	0.0254955	0.716773	0.17098	18.0588	6.13872	-0.0314888	6.16242
3252	14.6255	38644	0.285437	0.000700542	10.8235	2.89904	0.889926	0.0476899	0.789056	0.189311	14	6.85565	0.0224878	6.07415
3253	14.1192	39237	0.296961	0.000740056	12.4118	2.59949	0.915348	0.0253947	0.704352	0.18355	18.2353	7.51273	0.0195719	5.58519
3254	13.6267	40430	0.298307	0.000731196	12.7647	2.53795	0.917782	0.0288564	0.743114	0.156165	16.9412	5.17772	-0.0219914	6.6311
3255	14.0378	38403	0.287886	0.000739711	11.9412	2.43594	0.904936	0.028388	0.703253	0.128459	16.5882	4.84844	-0.037037	6.65795
3256	14.5024	37735	0.299404	0.000750834	10.4706	2.64853	0.87478	0.0605613	0.725267	0.159403	14.4706	6.27612	-0.00896861	5.98198
3257	14.428	37039	0.292733	0.000759521	13.3529	2.57248	0.920757	0.029227	0.670224	0.152207	20	6.68019	-0.0229868	5.83874
3258	14.8195	39598	0.296103	0.000804675	12.7647	2.7733	0.914672	0.028224	0.713402	0.148185	18	6.74537	-0.0166999	5.93746
3259	14.9423	41703	0.291941	0.000767601	13.2353	2.01648	0.926437	0.0185695	0.673814	0.154518	20.1765	7.90755	0.00982318	5.35814
3260	14.9097	39406	0.299861	0.000765768	11.2353	1.9535	0.891954	0.0360286	0.681035	0.172893	16.6471	5.34955	-0.00706769	6.28718
3261	14.9097	39406	0.299861	0.000765768	11.2353	1.9535	0.891954	0.0360286	0.681035	0.172893	16.6471	5.34955	-0.00706769	6.28718
3262	14.5156	39611	0.288105	0.000764054	12.8235	2.15741	0.910751	0.0410848	0.622757	0.154199	20.9412	7.41174	-0.0123077	5.26255
3263	14.4164	37421	0.287149	0.000798381	13.8824	2.82583	0.920487	0.036997	0.649125	0.170461	21.8235	7.72363	-0.0188794	5.45796
3264	14.5226	36866	0.291968	0.000801892	11.2353	2.19458	0.897093	0.0336541	0.76044	0.171447	14.7059	5.57634	-0.0010929	6.44568
3265	14.5105	39554	0.297492	0.000842856	12.6471	1.90201	0.921163	0.0177467	0.728835	0.131936	17.2941	6.42033	-0.0225198	6.10183
3266	14.5737	41347	0.298717	0.000856631	12.0588	1.67595	0.901961	0.0395087	0.71458	0.143993	16.6471	4.58177	-0.0135156	6.71986
3267	14.811	40829	0.291696	0.000823142	11.4118	1.76985	0.891548	0.0309517	0.75279	0.137677	14.8824	4.78124	0.0106784	6.75275
3268	14.5658	42417	0.287421	0.000867087	11.9412	1.63824	0.900068	0.0294858	0.701599	0.180009	17.2353	5.5737	0.0113548	6.30471
3269	14.8728	43935	0.29823	0.000869977	12.2353	1.67815	0.908722	0.0247429	0.719195	0.133199	17	6.05186	-0.00123305	6.16289
3270	14.6768	45508	0.290405	0.00087622	15.2353	2.41168	0.936849	0.0228605	0.636648	0.199226	25.7059	10.1351	0.0038864	4.95309
3271	14.5156	43309	0.291541	0.000908161	12.3529	1.76569	0.904665	0.026225	0.72019	0.193004	17.6471	6.48017	-0.0238612	6.04747
3272	14.4749	43087	0.291152	0.000920902	13.7059	3.13777	0.919675	0.0366058	0.73874	0.136837	18.1765	5.36464	0.00228415	6.64503
3273	14.7068	43972	0.290934	0.00091617	12.2941	1.64942	0.918864	0.0214078	0.755595	0.143462	16.0588	5.06792	-0.0384615	6.75462
3274	14.6046	46122	0.280718	0.000872888	12.4706	2.47784	0.916836	0.0265768	0.720138	0.164217	17.8235	7.60949	0.0433191	5.5387
3275	14.784	44820	0.284055	0.000854088	12.7059	2.59241	0.911697	0.0371751	0.693994	0.199305	19.5294	9.07688	-0.0290635	5.04271
3276	14.784	44820	0.284055	0.000854088	12.7059	2.59241	0.911697	0.0371751	0.693994	0.199305	19.5294	9.07688	-0.0290635	5.04271
3277	14.9793	43644	0.273972	0.000823844	12.4118	2.45099	0.909939	0.0355973	0.700905	0.159173	18	6.74537	-0.0311248	5.81121
3278	14.729	44229	0.281086	0.000834631	13.8235	2.7211	0.921433	0.0288187	0.713531	0.153139	19.7059	7.80036	0.0350691	5.54896
3279	14.8159	45593	0.290769	0.000878451	14.7059	2.46892	0.939554	0.0218959	0.636321	0.141524	23.4706	8.02432	-0.00611302	5.39954
3280	14.3099	43861	0.29366	0.000904637	12.4706	2.47784	0.91048	0.0273393	0.648334	0.159622	20	8.73928	-0.00369231	4.93543
3281	14.3099	43861	0.29366	0.000904637	12.4706	2.47784	0.91048	0.0273393	0.648334	0.159622	20	8.73928	-0.00369231	4.93543
3282	14.5022	41302	0.279861	0.000864397	14.4706	2.40098	0.929817	0.0196937	0.625335	0.128336	23.2941	7.13061	-0.0126582	5.67391
3283	14.0207	38904	0.287927	0.000828862	13.2353	2.10741	0.925896	0.0220427	0.638704	0.183148	21.8824	8.95044	0.000453789	4.93294
3284	14.0207	38904	0.287927	0.000828862	13.2353	2.10741	0.925896	0.0220427	0.638704	0.183148	21.8824	8.95044	0.000453789	4.93294
3285	14.0207	38904	0.287927	0.000828862	13.2353	2.10741	0.925896	0.0220427	0.638704	0.183148	21.8824	8.95044	0.000453789	4.93294
3286	13.8492	38000	0.299625	0.000847323	11.8824	2.14716	0.896011	0.0275925	0.675952	0.181061	17.8235	5.82275	0.0248321	6.09766
3287	13.6715	37083	0.290812	0.000832043	11.1176	2.08813	0.899256	0.0286693	0.748514	0.148819	14.6471	4.99926	-0.00763359	6.66903
3288	13.6715	37083	0.290812	0.000832043	11.1176	2.08813	0.899256	0.0286693	0.748514	0.148819	14.6471	4.99926	-0.00763359	6.66903
3289	13.4562	34946	0.297238	0.000797105	14.2353	3.63197	0.929547	0.0286082	0.717558	0.144459	19.9412	7.48724	-0.00421941	6.07779
3290	13.5892	32702	0.286259	0.000779831	12.2941	2.51905	0.908316	0.0305073	0.692171	0.143964	17.7647	6.40829	-0.0106432	5.92798
3291	13.9718	33940	0.28226	0.000813295	11.5294	1.80685	0.894388	0.0349723	0.75864	0.173204	15.5294	7.08976	-0.0360615	5.86983
3292	13.6762	35094	0.290577	0.000841428	11.4118	2.39945	0.896822	0.0302463	0.741282	0.140198	15.0588	4.98085	-0.0331457	6.69197
3293	13.5323	36367	0.284409	0.000813078	12.1176	2.4208	0.902637	0.0397005	0.709371	0.14676	17.0588	5.97359	-0.00822598	6.08826
3294	13.2466	36513	0.293592	0.000847021	11.1176	2.05798	0.897634	0.0243303	0.721078	0.204594	15.5882	5.16065	0.0176205	6.58687
3295	13.0811	34719	0.294164	0.000884867	13.2353	2.16591	0.92238	0.0287417	0.741702	0.14435	17.8824	6.67909	0.02291	5.94741
3296	13.2758	33904	0.286761	0.000897676	13	2.26385	0.914131	0.0279542	0.629341	0.163053	21.0588	7.24112	-0.00398406	5.43875
3297	13.2758	33904	0.286761	0.000897676	13	2.26385	0.914131	0.0279542	0.629341	0.163053	21.0588	7.24112	-0.00398406	5.43875
3298	13.761	33831	0.277416	0.000862785	11.1765	2.57961	0.889249	0.047275	0.697101	0.154168	15.8235	5.28246	0.0353941	6.32275
3299	13.3824	31110	0.264787	0.000906277	10.3529	3.10123	0.879108	0.0517054	0.779752	0.18099	13.5882	7.63265	-0.0269494	5.86426
3300	13.8249	30774	0.273189	0.00091576	11.4118	2.80755	0.884111	0.0502541	0.713025	0.169512	16.2353	6.75952	-0.0163259	5.81752
3301	14.233	32001	0.260212	0.000907151	12.5294	2.34834	0.916836	0.0206455	0.704354	0.185635	18.2941	7.24366	-0.00977995	5.71605
3302	14.272	30892	0.261603	0.000909413	14.2941	2.64019	0.927113	0.0272703	0.679094	0.127087	20.7647	5.90052	-0.00695074	6.24203
3303	14.4423	33142	0.265889	0.000899545	14.3529	2.80493	0.931305	0.0281537	0.691825	0.100284	20.3529	6.16382	-0.0153476	6.23175
3304	14.7013	33373	0.273082	0.000923139	13.5882	2.15229	0.924679	0.0250185	0.659379	0.230923	22.8824	10.6647	0.00348327	4.69504
3305	14.8591	33244	0.278483	0.000918262	11.5294	1.84112	0.896687	0.0392026	0.751597	0.183945	15.7059	7.39734	0.0210707	5.6651
3306	14.5494	35453	0.268262	0.000929767	12.2353	2.68164	0.905341	0.0336414	0.738756	0.144037	16.2941	5.24124	-0.0185759	6.57158
3307	14.3116	37718	0.264363	0.000942584	12.6471	3.42675	0.908181	0.0370899	0.691034	0.204217	19.1765	8.56034	-0.0152754	5.49591
3308	14.3275	39146	0.267408	0.000925653	12	2.03101	0.909669	0.0304952	0.658086	0.200421	19.8824	10.0118	0.017695	4.54642
3309	14.3359	40484	0.264656	0.00094333	14.1176	2.2606	0.927654	0.0249602	0.654733	0.12354	21.3529	6.09243	0.0330267	6.03404
3310	14.1076	41887	0.271764	0.00092194	13.2353	2.9692	0.914537	0.0340125	0.708564	0.158205	19.3529	9.32698	-0.0213027	5.10068
3311	13.6492	39232	0.284431	0.00088137	11.7059	2.11438	0.899391	0.0270119	0.759882	0.172762	15.7059	6.66863	-0.0119956	6.02481
3312	14.1033	39876	0.285904	0.000841455	13.8824	2.44649	0.92833	0.0263019	0.667745	0.16635	21.5294	8.36001	0.0206543	5.21692
3313	14.0967	40145	0.278641	0.00088178	12.8824	2.39485	0.920757	0.022599	0.687829	0.1969	19.5882	7.81872	0.0299347	5.45052
3314	13.9692	38742	0.287275	0.000847445	13.8824	2.91295	0.926707	0.0293709	0.616449	0.178382	23.7059	9.16355	0.0101224	4.96503
3315	14.3408	37571	0.284532	0.000894696	13	2.93684	0.913861	0.0309291	0.697523	0.163967	19.2353	8.12042	-0.00429185	5.41571
3316	14.3408	37571	0.284532	0.000894696	13	2.93684	0.913861	0.0309291	0.697523	0.163967	19.2353	8.12042	-0.00429185	5.41571
3317	14.2525	35614	0.278823	0.000899891	13.7059	2.84527	0.92211	0.0330835	0.661534	0.203286	23.5882	14.8073	0.00501139	4.39266
3318	14.2525	35614	0.278823	0.000899891	13.7059	2.84527	0.92211	0.0330835	0.661534	0.203286	23.5882	14.8073	0.00501139	4.39266
3319	14.5385	37504	0.28755	0.000855501	11.1176	2.97662	0.882894	0.0586853	0.792032	0.162046	14	6.20484	-0.0177778	6.30218
3320	14.8671	35385	0.289449	0.000881606	10.1176	1.49509	0.888032	0.0249158	0.828095	0.235771	13.0588	7.10168	-0.00709891	6.30997
3321	14.6948	33038	0.285024	0.000859485	11.4118	2.82973	0.892901	0.0402139	0.758359	0.166748	14.9412	6.0049	0.025858	6.29672
3322	14.828	32204	0.293496	0.000884228	13.8235	3.64409	0.920757	0.0324712	0.67685	0.155236	20.7059	8.24443	0.0255319	5.66426
3323	14.3442	34905	0.295085	0.000843386	12.2353	2.35927	0.911427	0.0288517	0.682291	0.157718	18.1176	7.01679	-0.00261257	5.64411
3324	14.5782	37487	0.2808	0.000883129	13.8824	2.59524	0.924408	0.0304531	0.698794	0.180228	20.4706	7.34096	-0.0320036	5.73222
3325	14.765	38679	0.272727	0.000901651	14.1176	2.91295	0.933739	0.0210102	0.682296	0.167187	21.7059	9.03303	-0.0387504	5.28373
3326	14.7378	39882	0.280753	0.000942109	12.8824	2.20461	0.914537	0.0323909	0.739499	0.217928	18.4118	8.76826	-0.01241	5.31609
3327	14.3104	42244	0.287485	0.000967507	14	2.20794	0.923191	0.0286211	0.743771	0.194954	19.8235	8.86168	0.00621872	5.30026
3328	14.5688	40810	0.28263	0.000996865	13.5294	2.40098	0.927924	0.020911	0.736241	0.151935	18.7647	8.08184	-0.00166038	5.51595
3329	14.119	38236	0.283658	0.000966736	12.0588	1.51948	0.91332	0.0215155	0.665599	0.177356	18.5882	6.45231	-0.000460052	5.90876
3330	14.1835	36826	0.28535	0.000999411	14.2941	2.64019	0.927519	0.0304665	0.681433	0.13352	20.7059	5.742	0.0153939	6.27698
3331	14.1845	34527	0.277028	0.000968077	11	2.09165	0.896822	0.0335199	0.716726	0.195944	15.8235	6.5692	-0.00593565	5.93412
3332	14.1845	34527	0.277028	0.000968077	11	2.09165	0.896822	0.0335199	0.716726	0.195944	15.8235	6.5692	-0.00593565	5.93412
3333	13.9308	35768	0.276758	0.000940645	12.5882	1.93839	0.920757	0.0283901	0.705178	0.183699	18.7647	8.56978	0.00790754	5.16543
3334	13.6284	36716	0.263058	0.000895973	12.4706	2.06512	0.90737	0.0288018	0.728716	0.175031	17.1765	5.69249	-0.0162162	6.33716
3335	13.5775	34978	0.267118	0.00089704	11.5294	2.29449	0.896822	0.0403109	0.721713	0.15227	15.8235	5.29428	-0.0331457	6.43849
3336	13.5775	34978	0.267118	0.00089704	11.5294	2.29449	0.896822	0.0403109	0.721713	0.15227	15.8235	5.29428	-0.0331457	6.43849
3337	13.3215	35023	0.267231	0.000874163	12.7059	1.92888	0.915213	0.0252335	0.675114	0.18826	19.2941	6.54565	-0.0338594	5.91037
3338	13.3215	35023	0.267231	0.000874163	12.7059	1.92888	0.915213	0.0252335	0.675114	0.18826	19.2941	6.54565	-0.0338594	5.91037
3339	13.4827	37698	0.272101	0.000864611	13	2.89396	0.920892	0.0263624	0.696111	0.189615	19.1765	7.19579	-0.0184142	5.81972
3340	13.3518	36270	0.280125	0.000856843	12.1765	2.48081	0.905206	0.0327488	0.709411	0.159632	17.1765	6.19713	-0.0187336	6.06507
3341	13.6569	36391	0.273114	0.000885939	12.6471	2.28968	0.9167	0.0268647	0.711462	0.172931	18.2353	6.78721	0.0166438	5.82261
3342	13.7392	35727	0.287453	0.000871468	13.7059	1.8962	0.929141	0.0217517	0.696966	0.102277	19.3529	5.39608	0.012807	6.43582
3343	13.4888	37539	0.280491	0.000867253	12.8235	2.69804	0.912914	0.0346155	0.697924	0.186131	18.8235	6.96631	0.016866	5.76269
3344	12.9959	36371	0.279643	0.000908636	12.0588	1.78433	0.905882	0.0280313	0.700094	0.138866	17	5.24404	-0.0224354	6.44865
3345	12.9959	36371	0.279643	0.000908636	12.0588	1.78433	0.905882	0.0280313	0.700094	0.138866	17	5.24404	-0.0224354	6.44865
