Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS
13907	13.48	66	0.256876	0.00016763	1	0	0	0	0	0	0	0	0
13908	14.7675	11115	0.266182	0.000695358	6.47059	1.50489	0.779801	0.0774941	0.892036	0.13733	6.58824	2.69395	0.0256729
13909	13.6498	67	0.294427	0.00071502	1.23529	0.437237	0.0613134	0.128338	1	0	1	0	0.0421053
13910	12.867	8291	0.138805	0.000170198	3.76471	0.83137	0.6108	0.0899271	0.938725	0.136707	3.17647	1.46779	-0.104914
13911	13.8695	1045	0.174671	0.000755517	3.17647	1.0146	0.431995	0.183326	0.930804	0.153457	2.75	1.52753	-0.00187056
13912	14.8823	361	0.245269	0.000234504	1.64706	0.606339	0.191099	0.20868	1	0	1.1	0.316228	0.0337838
13913	11.3726	1070	0.260225	0.000454382	2.05882	0.747545	0.298319	0.204626	1	0	1.38462	0.50637	-0.102773
13914	14.5943	11034	0.209044	0.000592477	7.94118	1.85306	0.818861	0.0502046	0.861126	0.0867602	8.35294	2.39638	0.0313424
13915	9.43078	242	0.165733	0.000120435	1	0	0.253968	0	1	0	1	0	-0.130435
13916	13.3811	34961	0.287695	0.000848325	13.8235	1.81091	0.93324	0.0228635	0.629964	0.182607	23.7647	11.0935	0.0145379
13917	12.5682	35129	0.147661	0.000156823	6.05882	1.34493	0.789449	0.0588963	0.897636	0.132398	6.05882	2.48673	-0.00614251
13918	12.4576	13	0.133281	0.000871313	1	0	0	0	0	0	0	0	0
13919	14.8315	15809	0.128655	0.000110558	4.35294	1.11474	0.645036	0.129576	0.894701	0.142395	4	1.62019	-0.0167962
13920	13.0374	228	0.198372	0.000662566	1.29412	0.587868	0.0529101	0.131326	0.9375	0.125	1.5	1	-0.116564
13921	9.77107	31535	0.101399	0.000843888	12.7059	2.17269	0.917989	0.023063	0.65663	0.136903	19.2941	6.25265	-0.011976
13922	9.10153	520	0.235927	0.000692106	2.11765	0.781213	0.206038	0.180205	0.961538	0.0938835	1.61538	0.767948	-0.126872
13923	9.72644	8271	0.135028	0.000908656	7.41176	1.41681	0.818394	0.0592361	0.808563	0.16314	8.82353	3.95657	0.0785588
13924	11.3059	2942	0.154062	0.000786996	5.47059	1.46277	0.687986	0.130569	0.828548	0.149079	5.88235	2.52196	-0.00798872
13925	12.7436	781	0.236236	0.000534975	2.88235	0.696631	0.431373	0.17859	0.980392	0.0808452	1.94118	0.658653	0.0471204
13926	10.8791	103	0.187386	0.000248422	1.41176	0.5073	0.0957049	0.15856	1	0	1	0	0.171141
