290	318	150	142	202	252	158	151	391	264	278	343	843	359	157	342	284		289.647	164.516
21	46	30	107	19	34	11	43	34	25	12	41	34	42	62	48	101		41.765	26.943
202187	41911	94552	62699	20829	37465	51838	58806	128264	120779	48083	33624	66317	95813	96280	37508	77929		74993.176	45202.336
1862	726	2120	1891	2497	617	714	603	354	1480	851	1167	439	1377	1247	437	575		1115.118	660.562
103	168	254	167	179	209	80	288	759	97	105	153	260	165	113	334	105		208.176	160.013
10718	22654	50815	55577	38973	16836	30265	36126	20417	35132	15466	29128	57439	12689	21944	10057	35306		29384.824	15148.620
211	295	186	202	126	119	823	348	236	222	178	267	96	116	116	236	154		231.235	167.691
23041	15130	13492	37853	28710	29121	23762	17834	28158	46714	31621	60231	63803	15221	35958	13777	32908		30431.412	15119.149
26	24	29	13	18	28	35	12	11	22	25	14	37	7	13	13	29		20.941	9.038
87856	40459	29207	23242	42944	25272	59881	32894	23660	34792	38444	43177	20358	50325	60208	12666	16187		37739.529	19029.268
26	55	34	32	28	24	28	29	29	9	44	45	13	49	19	56	27		32.176	13.566
24	47	194	23	19	55	129	78	23	18	27	94	41	28	26	71	15		53.647	48.062
869	4720	806	723	2060	1992	779	2437	845	1532	714	887	694	2911	1610	1377	414		1492.353	1091.879
41	48	26	60	63	12	72	29	38	16	62	45	38	54	153	35	71		50.765	31.813
26	26	19	37	22	17	14	30	35	31	34	22	73	79	41	28	20		32.588	17.955
46	90	87	26	15	62	34	81	28	14	23	50	21	53	49	70	30		45.824	25.013
3410	3902	6683	5104	7505	7608	1788	3942	3470	9185	9569	4535	4473	14793	2690	4392	3888		5702.176	3228.565
792	1089	3742	1077	2197	2480	3820	3252	1006	2623	1579	3585	1390	1307	2713	1285	2175		2124.235	1031.704
22551	28585	53572	49889	14504	31829	28094	40363	30804	20123	17425	19223	67002	19104	14106	29005	26911		30181.765	14760.872
567	207	191	455	160	474	174	294	269	222	130	238	226	239	341	76	208		263.000	129.341
94	76	203	367	170	206	149	142	88	71	105	127	81	236	139	188	89		148.882	75.900
44	89	147	71	103	121	71	57	89	89	46	117	68	119	72	188	133		95.529	38.370
19	41	13	40	10	46	7	29	31	42	23	18	14	26	24	33	16		25.412	12.016
1379	1692	1032	1566	1815	1732	2253	450	2393	635	806	1520	1818	2154	2793	1426	1039		1559.000	636.625
3426	1752	3087	532	1797	634	387	526	1048	1467	591	448	443	1059	1330	1468	3169		1362.588	1006.193
18	19	38	23	30	32	56	15	30	33	24	56	25	37	25	45	75		34.176	15.923
234	178	446	250	259	461	178	654	446	536	890	602	1364	260	203	396	391		455.765	303.656
388	310	732	1100	174	480	168	254	670	104	743	199	399	431	212	111	629		417.882	276.867
355	103	161	446	134	155	320	50	39	98	290	440	120	285	390	343	204		231.353	135.613
7328	7808	7253	15354	24294	17267	7352	23237	11482	13118	4992	7929	7703	7053	15411	16010	18300		12464.176	5988.657
34163	20855	42441	31360	28702	19551	11770	61380	21763	32936	11507	17695	15628	19591	5416	21956	10347		23944.765	13698.236
473	321	133	220	229	181	98	1856	66	206	240	983	181	421	509	136	365		389.294	436.430
17507	10820	26733	17093	25552	17335	20748	39679	9076	19990	13730	15464	11996	41754	5672	5287	24133		18974.647	10330.526
61	25	8	19	16	16	39	35	19	48	12	41	14	13	18	32	19		25.588	14.710
1489	2033	1676	3770	3031	938	1818	3895	1557	1011	5902	1307	1611	2657	926	4451	5196		2545.176	1563.266
62	110	220	158	129	203	50	135	114	110	175	121	137	70	222	57	90		127.235	54.393
33	23	45	37	56	128	35	43	39	55	23	31	88	43	24	25	47		45.588	26.592
24131	43112	24390	67356	75908	14120	93198	26232	86436	31930	22313	27753	91073	71408	44066	46675	30150		48250.059	26824.042
19472	8248	3637	16279	7641	14065	5766	12311	3952	10811	19028	14497	21136	4584	14412	5163	6663		11039.118	5841.702
41	36	166	125	157	107	129	63	190	103	76	346	46	107	89	396	32		129.941	102.272
146	256	216	223	373	300	176	242	206	213	173	484	426	328	388	325	353		284.000	97.654
279	918	526	402	473	548	913	338	349	656	2086	349	459	696	300	688	466		614.471	426.678
53	19	41	41	62	25	47	20	18	30	30	23	58	38	39	22	41		35.706	13.882
587	308	486	345	159	361	502	310	269	309	508	254	627	692	666	600	455		437.529	161.441
9307	35791	28788	10373	21781	16962	39186	12801	37336	20839	17857	12591	36161	23187	20635	44281	20384		24015.294	10937.403
