Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS
19568	14.657	2164	0.27649	0.000756186	4.70588	0.985184	0.662372	0.103582	0.897479	0.141312	4.41176	1.62245	0.0491233
19569	10.5759	714	0.166887	0.000635119	2.47059	1.06757	0.371335	0.212788	1	0	1.78571	0.892582	-0.103323
19570	10.7111	17	0.168497	0.000412312	1.17647	0.392953	0.0383754	0.11956	1	0	1	0	0.065
19571	9.80303	21789	0.237014	0.000545629	11.3529	2.871	0.887582	0.0375634	0.80635	0.133644	13.4706	4.36059	0.0439109
19572	14.2074	4220	0.106818	0.00036967	4.23529	1.09141	0.608964	0.114498	0.965686	0.078278	3.41176	1.17574	-0.014685
19573	9.9811	555	0.149371	0.000314175	1.58824	0.712287	0.147712	0.191887	1	0	1.25	0.46291	0.0500325
19574	11.287	265	0.150475	0.000133516	1.11765	0.332106	0.0301587	0.11085	1	0	1	0	0.0254777
19575	14.7157	78	0.21319	0.000557326	1.47059	0.624264	0.0795518	0.134989	1	0	1.14286	0.377964	-0.15534
19576	13.1015	37	0.281175	0.00017008	1	0	0.385714	0	1	0	1	0	-0.00847458
19577	9.16057	16	0.109389	0.000807642	1	0	0	0	0	0	0	0	0
19578	10.7498	3760	0.137485	0.000906636	6.76471	1.56243	0.777218	0.0806931	0.870264	0.147954	7.11765	2.99755	0.0165637
19579	9.39283	3234	0.179627	0.000791952	5.35294	1.16946	0.718021	0.074622	0.905059	0.127805	5.17647	2.18619	-0.00133869
19580	12.7846	26	0.240309	0.000941622	1.11765	0.332106	0.0421102	0.130861	1	0	1	0	0.307692
19581	14.7136	5804	0.254686	0.000886304	6.88235	1.45269	0.8	0.0527584	0.813492	0.182104	8.05882	3.38139	-0.0176704
19582	12.9817	648	0.135581	0.000860722	3.17647	0.727607	0.526424	0.142735	0.968487	0.0891806	2.35294	1.11474	0.0579657
19583	10.5929	118	0.146454	0.00013505	2	0	0.0555556	0	1	0	1	0	-1.30511e-17
19584	11.7677	24078	0.285734	0.000969167	10.5882	2.00184	0.888982	0.0318672	0.83325	0.122409	12	3.10242	0.0265774
19585	8.85521	24	0.141571	0.000868057	1	0	0.436508	0	1	0	1	0	-0.150376
19586	11.0545	14	0.295228	0.000333035	1	0	0	0	0	0	0	0	0
19587	13.2993	470	0.122902	0.000319112	2.05882	0.747545	0.301587	0.238546	1	0	1.38462	0.50637	0.0477403
19588	8.09907	8008	0.140621	0.000845096	7.70588	1.57181	0.81662	0.0498016	0.838036	0.138976	8.41176	2.31999	-0.0128341
19589	13.9838	3434	0.186465	0.000836482	4.41176	1.12132	0.633427	0.123443	0.991597	0.0346479	3.47059	1.23073	0.0732889
19590	8.79845	11165	0.207761	0.000394677	4.88235	1.45269	0.661625	0.133178	0.924393	0.122395	4.41176	1.83912	0.00232423
19591	14.5198	38615	0.153055	0.000720987	13	3.08221	0.905229	0.0315258	0.710148	0.137787	18.0588	6.14889	0.0148588
19592	11.3744	28660	0.177851	0.000969153	13.5294	2.918	0.904575	0.0348614	0.701554	0.17629	20.2941	9.01225	0.017842
19593	11.4907	29	0.131008	0.000408606	1.11765	0.332106	0.0334267	0.124235	1	0	1	0	0.420455
19594	12.9387	467	0.142261	0.000443215	1.88235	0.600245	0.25845	0.217202	0.948718	0.125178	1.30769	0.480384	-0.0249349
19595	14.7723	40547	0.205121	0.000878865	13.0588	3.39983	0.910644	0.0356912	0.798461	0.15483	16.5882	8.1552	-0.00865709
19596	13.5133	2188	0.130343	0.000343421	3.47059	0.943242	0.473296	0.19084	0.939216	0.119161	2.76471	1.20049	0.0342869
19597	13.7708	13	0.236137	0.000246149	1	0	0	0	0	0	0	0	0
19598	13.9166	12606	0.296856	0.00067004	5.88235	1.65387	0.741363	0.0923273	0.883287	0.144459	5.94118	2.48673	-0.0188092
19599	14.6135	42	0.111522	0.000242779	1	0	0.436508	0	1	0	1	0	0.11194
19600	12.4071	68	0.192413	0.000587688	1.29412	0.587868	0.0747899	0.163514	1	0	1.25	0.5	0.218391
19601	12.69	142	0.283459	0.000658534	1.35294	0.492592	0.09169	0.157366	1	0	1	0	0.148225
19602	13.268	8931	0.239821	0.000522528	6.82353	1.8451	0.755369	0.105755	0.933534	0.101763	6.52941	2.764	0.0228891
19603	14.3432	648	0.201177	0.000668395	2.88235	0.857493	0.394118	0.183313	0.984375	0.0625	2.0625	0.771902	0.0562454
19604	9.09592	73	0.287679	0.000643858	1.41176	0.618347	0.087395	0.160709	1	0	1.16667	0.408248	-0.00990099
19605	12.6301	155	0.288372	0.000910112	1.88235	0.857493	0.215126	0.225778	1	0	1.5	0.527046	-0.0339893
19606	14.1329	275	0.115672	0.00085109	1.76471	0.664211	0.212232	0.206327	1	0	1.18182	0.40452	-0.080345
19607	13.8636	353	0.278244	0.000408248	1.94118	0.747545	0.211018	0.192034	0.958333	0.0973124	1.5	0.797724	-0.086758
19608	12.6333	205	0.173171	0.000920195	1.88235	0.857493	0.216993	0.233019	0.925	0.168737	1.9	1.28668	-0.0403548
19609	8.49102	2259	0.118935	0.000436691	3.41176	1.22774	0.532493	0.182458	0.953361	0.113449	2.64706	1.41161	0.0689966
19610	14.5582	100	0.147608	0.000195892	1	0	0	0	0	0	0	0	0
19611	8.82629	60	0.296102	0.000907238	1.29412	0.469668	0.0478058	0.120963	1	0	1	0	-0.0967742
19612	14.9993	873	0.178906	0.000168853	2.05882	0.555719	0.231092	0.203004	0.983333	0.0645497	1.26667	0.593617	0.0974699
19613	14.7546	207	0.112051	0.000657166	1.76471	0.562296	0.213912	0.190309	1	0	1.08333	0.288675	0.101254
19614	9.21507	7034	0.166045	0.000289675	5.29412	1.21268	0.702521	0.081038	0.930672	0.137694	4.82353	1.59041	0.02379
19615	14.1869	23	0.131448	0.000317346	1	0	0	0	0	0	0	0	0
19616	9.12325	2966	0.13497	0.000272048	3.35294	0.86177	0.49225	0.163413	1	0	2.35294	0.86177	0.0452418
19617	8.54125	40	0.295299	0.000562048	1.23529	0.437237	0.0647059	0.145115	1	0	1	0	-0.0625
19618	11.4354	133	0.268298	0.000884522	1.82353	0.528594	0.215033	0.20751	1	0	1.07692	0.27735	-0.0658307
19619	9.87556	18	0.176309	0.000321226	1	0	0	0	0	0	0	0	0
19620	14.0542	5187	0.272328	0.00024787	3.52941	1.4194	0.503735	0.193865	0.97549	0.0707396	2.64706	1.49755	0.0409758
19621	10.2875	40	0.103748	0.000956247	1.41176	0.5073	0.135387	0.194452	1	0	1	0	-0.11396
19622	9.98501	17215	0.126867	0.000437449	9.70588	1.8962	0.862465	0.0463044	0.82484	0.180389	11.5882	4.59699	0.0347361
19623	10.7903	157	0.170248	0.000574362	1.88235	0.92752	0.226704	0.245239	0.95	0.105409	1.7	0.948683	0.020339
19624	14.6859	28237	0.25034	0.000442515	10	2.03101	0.858077	0.0598958	0.811466	0.193709	12.6471	6.6327	-0.0016803
19625	12.3208	25227	0.140284	0.000660921	12.1176	2.39485	0.889729	0.0545808	0.777889	0.175143	15.5882	5.89554	0.027418
19626	12.8574	6963	0.183639	0.0005329	6.17647	0.951006	0.72409	0.0855013	0.89569	0.117983	6.11765	1.96476	-0.0159363
19627	8.114	75	0.192613	0.000566788	1.35294	0.492592	0.0647059	0.116773	0.944444	0.136083	1.16667	0.408248	-0.0625
19628	13.7454	1918	0.261483	0.00039222	3.94118	1.02899	0.591503	0.0860534	0.956303	0.0821383	3.17647	1.23669	0.0454398
19629	14.4147	4282	0.289548	0.000512778	4.35294	1.49755	0.634174	0.11496	0.958824	0.0768561	3.58824	1.62245	-0.0368685
19630	11.8494	143	0.121863	0.000702479	1.64706	0.701888	0.138469	0.182993	1	0	1.22222	0.440959	-0.0883786
19631	8.46687	52	0.296299	0.000253409	1	0	0	0	0	0	0	0	0
19632	14.6441	37985	0.249655	0.00050439	11.5882	2.12305	0.896172	0.0183234	0.756496	0.159908	15.4706	6.33559	0.0271139
19633	14.9299	10341	0.156723	0.000845718	8	1.65831	0.826517	0.0402725	0.836763	0.156346	9.17647	3.86062	0.0565424
19634	14.6115	39415	0.279286	0.000509099	11.8235	2.78916	0.893091	0.0398447	0.792178	0.212782	15.5294	7.25532	0.0123722
19635	14.1902	18	0.185199	0.000620965	1	0	0.203175	0	1	0	1	0	-0.0967742
19636	14.2135	229	0.205283	0.00085657	2.35294	0.785905	0.343324	0.221262	1	0	1.53333	0.63994	-0.0288596
19637	12.682	284	0.17928	0.000345274	1.41176	0.712287	0.105509	0.197418	1	0	1.4	0.547723	0.0409463
19638	11.7695	279	0.202267	0.000655669	2.29412	0.685994	0.307937	0.204265	1	0	1.46667	0.516398	0.0787917
19639	14.4505	23184	0.145942	0.000417306	9.35294	1.61791	0.853408	0.036391	0.890396	0.119617	9.82353	2.96301	0.000563126
19640	8.30262	45	0.133752	0.000367098	1	0	0	0	0	0	0	0	0
19641	11.9873	929	0.126281	0.000729085	3.05882	0.899346	0.492437	0.167511	0.989583	0.0416667	2.25	0.930949	-0.0294979
19642	14.8064	2421	0.287965	0.000835037	4.23529	1.48026	0.568627	0.167357	0.92395	0.11277	3.64706	1.61791	0.0708502
19643	9.28296	3701	0.110685	0.000902531	6.11765	1.21873	0.745472	0.0724854	0.914916	0.136869	5.94118	2.24918	-0.0175439
19644	14.6511	19001	0.285001	0.000950868	9.23529	2.43745	0.850887	0.0551072	0.785402	0.164822	11.2353	3.78367	0.00146843
19645	9.40084	13	0.223161	0.000708152	1.23529	0.562296	0.0869281	0.201788	1	0	1.33333	0.57735	0.0618102
19646	13.1608	29	0.199406	0.000275107	2	0	0.107937	0	1	0	1	0	-0.030303
19647	11.6045	11	0.289113	0.000491871	1	0	0	0	0	0	0	0	0
19648	9.68947	935	0.124529	0.000202601	2.05882	0.899346	0.234921	0.231783	0.972222	0.096225	1.58333	0.668558	0.0269828
19649	12.9564	1377	0.151139	0.000601597	2.76471	0.664211	0.385994	0.229128	0.932292	0.122545	2.125	0.619139	0.0358209
19650	12.8938	396	0.108455	0.000766916	2.35294	0.996317	0.341363	0.233965	0.938095	0.126665	1.85714	0.949262	-0.0349493
