Sim	GAMMA	NCURR	STEPS	STR_MUTATION	K_1	Ksd_1	H_1	Hsd_1	GW_1	GWsd_1	R_1	Rsd_1	FIS	Distance
1	9.55791	32770	0.178203	0.000865731	11.0588	1.91933	0.897093	0.0359141	0.758193	0.18124	14.7647	5.80441	-0.0101515	6.34784
2	9.92647	31349	0.174018	0.000820667	12.8824	3.01833	0.913996	0.0407119	0.705029	0.149217	18.2353	6.46654	0.0136315	6.00544
3	9.99739	32411	0.184171	0.000856827	12.7647	2.38562	0.910615	0.0354918	0.734877	0.134667	17.2353	5.82591	0.0098401	6.23721
4	10.4371	30376	0.178641	0.000899758	12.2353	2.43745	0.908587	0.0321893	0.687399	0.148317	17.9412	6.95944	0.0120185	5.65033
5	10.4371	30376	0.178641	0.000899758	12.2353	2.43745	0.908587	0.0321893	0.687399	0.148317	17.9412	6.95944	0.0120185	5.65033
6	10.6583	29373	0.177979	0.000885093	12.6471	2.26222	0.915619	0.0266826	0.612624	0.191508	22.4706	11.1698	-0.0156107	4.24206
7	11.0083	30031	0.177332	0.000849989	11.5882	1.76985	0.900609	0.026877	0.702619	0.163598	16.4706	5.66919	0.0659426	6.25203
8	11.4981	30302	0.182646	0.000882725	13.1765	2.4299	0.917918	0.026695	0.715475	0.149582	18.2941	5.95572	0.0135733	6.1998
9	11.1288	30785	0.182548	0.000857537	12.7059	2.02376	0.912508	0.030783	0.6991	0.110859	17.7059	4.70059	0.00306937	6.65281
10	10.6566	30332	0.189256	0.000854954	12.0588	1.74895	0.904124	0.0317059	0.729886	0.14578	16.3529	4.72944	-0.0110026	6.7206
11	10.8013	32960	0.201685	0.000820969	11.6471	1.99816	0.900609	0.0281495	0.666388	0.211045	18.9412	9.37064	0.00746269	4.80869
12	10.3018	31910	0.189616	0.000835867	12.8235	3.06666	0.905882	0.0419302	0.738556	0.174411	17.4118	6.26557	-0.00897	6.22675
13	10.4173	30200	0.179639	0.000847632	11.7059	1.40378	0.910886	0.022953	0.714816	0.164956	16.5294	6.17574	-0.012152	6.18526
14	9.99278	28050	0.192904	0.000889967	13.1176	2.31523	0.921569	0.0231301	0.71986	0.178698	18.7647	7.32743	0.0352155	5.68816
15	9.99278	28050	0.192904	0.000889967	13.1176	2.31523	0.921569	0.0231301	0.71986	0.178698	18.7647	7.32743	0.0352155	5.68816
16	9.99278	28050	0.192904	0.000889967	13.1176	2.31523	0.921569	0.0231301	0.71986	0.178698	18.7647	7.32743	0.0352155	5.68816
17	9.99278	28050	0.192904	0.000889967	13.1176	2.31523	0.921569	0.0231301	0.71986	0.178698	18.7647	7.32743	0.0352155	5.68816
18	10.0499	30751	0.183723	0.000936402	14	2.44949	0.927248	0.0203345	0.681771	0.155487	21.3529	10.1793	-0.0199516	4.82045
19	9.86177	32530	0.182737	0.000943535	12.6471	1.65609	0.918999	0.019934	0.738511	0.176246	17.2941	5.97667	0.00152393	6.31274
20	9.86177	32530	0.182737	0.000943535	12.6471	1.65609	0.918999	0.019934	0.738511	0.176246	17.2941	5.97667	0.00152393	6.31274
21	9.97776	35223	0.179273	0.000944072	12.5882	2.59949	0.915754	0.0353711	0.696951	0.212753	19.6471	9.91174	-0.0110159	4.83023
22	9.87525	32943	0.166646	0.000954007	10.5882	2.37326	0.893171	0.034388	0.750211	0.202385	14.7647	7.47938	-0.0101961	5.73366
23	9.87525	32943	0.166646	0.000954007	10.5882	2.37326	0.893171	0.034388	0.750211	0.202385	14.7647	7.47938	-0.0101961	5.73366
24	9.59532	34338	0.155094	0.000979342	10.4706	2.18282	0.88046	0.0352126	0.785604	0.20213	13.8824	7.61481	0.00238588	5.77952
25	10.1006	34042	0.168952	0.00094476	13.8824	1.90008	0.928465	0.0187621	0.678769	0.135971	20.2941	5.04684	-0.00980836	6.56605
26	10.5806	31826	0.170973	0.000986275	11.8824	2.44649	0.908587	0.0292769	0.760004	0.18148	16.1765	7.57657	0.00308261	5.69165
27	10.5806	31826	0.170973	0.000986275	11.8824	2.44649	0.908587	0.0292769	0.760004	0.18148	16.1765	7.57657	0.00308261	5.69165
28	10.6049	33846	0.168671	0.000948482	11.1765	2.00734	0.90142	0.0264478	0.682421	0.145219	16.5294	6.73719	-0.023169	5.76787
29	11.0213	34267	0.178085	0.000939815	13.9412	3.00979	0.925761	0.032202	0.671304	0.128862	20.2941	5.24124	-0.00847458	6.53961
30	11.0213	34267	0.178085	0.000939815	13.9412	3.00979	0.925761	0.032202	0.671304	0.128862	20.2941	5.24124	-0.00847458	6.53961
31	11.0213	34267	0.178085	0.000939815	13.9412	3.00979	0.925761	0.032202	0.671304	0.128862	20.2941	5.24124	-0.00847458	6.53961
32	11.0213	34267	0.178085	0.000939815	13.9412	3.00979	0.925761	0.032202	0.671304	0.128862	20.2941	5.24124	-0.00847458	6.53961
33	11.3073	35119	0.189728	0.000893613	11.5882	2.2096	0.898174	0.034037	0.762434	0.148982	15	5.27968	0.0362872	6.53123
34	11.3073	35119	0.189728	0.000893613	11.5882	2.2096	0.898174	0.034037	0.762434	0.148982	15	5.27968	0.0362872	6.53123
35	11.0028	35348	0.18822	0.000913901	11.6471	1.86886	0.901961	0.0285041	0.774036	0.181534	15.2941	6.08034	0.0673896	6.28712
36	11.0028	35348	0.18822	0.000913901	11.6471	1.86886	0.901961	0.0285041	0.774036	0.181534	15.2941	6.08034	0.0673896	6.28712
37	10.8275	36588	0.1859	0.000899017	10.3529	2.05977	0.882082	0.0415765	0.716935	0.177003	14.5294	5.63602	-0.0141382	6.28742
38	11.1931	36848	0.19601	0.000876386	12.1176	2.28808	0.911427	0.0253671	0.726769	0.100832	16.1176	4.80732	0.0107527	6.71688
39	11.5677	34860	0.183833	0.000872226	12	3.16228	0.903178	0.0475443	0.747769	0.155379	16.1765	6.876	0.0418086	5.95936
40	11.4266	36208	0.170708	0.000879813	12.7059	2.801	0.912644	0.0432832	0.652259	0.152025	19.7647	6.73173	-0.010132	5.67937
41	11.4007	35285	0.174518	0.000846176	11.5882	2.76267	0.897363	0.036583	0.733282	0.162945	16.2941	7.77628	0.0218341	5.51001
42	11.3893	34992	0.160787	0.000856511	11.8824	1.57648	0.908181	0.02653	0.742874	0.181342	16.1765	5.83347	-0.0107991	6.36863
43	11.3893	34992	0.160787	0.000856511	11.8824	1.57648	0.908181	0.02653	0.742874	0.181342	16.1765	5.83347	-0.0107991	6.36863
44	10.9117	35476	0.160763	0.000849964	13.4118	2.12305	0.919675	0.0320138	0.677771	0.129015	19.5882	5.57964	0.00669915	6.2196
45	11.0366	37539	0.162052	0.000889168	14.8824	2.17607	0.931981	0.0193544	0.592535	0.182686	26.8235	9.88835	0.00721154	4.85439
46	10.5977	39961	0.149986	0.000845529	14.2353	2.41168	0.929141	0.0286001	0.682412	0.17503	21.8235	9.1189	-0.00904704	5.0736
47	10.9621	42142	0.163535	0.000831522	10	2.03101	0.868425	0.0499539	0.742962	0.167285	13.4118	5.44356	-0.0306748	6.44007
48	11.2951	43445	0.154427	0.000874224	12.6471	2.84915	0.911291	0.0334822	0.685134	0.208028	19	6.71751	0.0417434	5.90118
49	11.0599	44563	0.157626	0.000889098	10.8824	2.89142	0.885463	0.0470439	0.722621	0.176236	15.5882	7.49215	-0.0055371	5.603
50	10.6842	45598	0.147216	0.000850203	14.9412	2.24918	0.932657	0.0223143	0.676694	0.144587	22.5294	7.64949	-0.0138221	5.61717
51	10.5673	47960	0.156543	0.000881924	15.1765	2.50588	0.938607	0.021346	0.658399	0.183502	24.1176	9.03384	0.00149209	5.24352
